Approach,Trainable Params,Training Time (min),Test Accuracy
CNN from scratch,12939206,78.91362811326981,0.7556874381800198
ResNet-18 (frozen),3078,77.22900492747625,0.8417408506429278
ResNet-18 (fine-tuned),11179590,81.12770332495371,0.9208704253214639
